Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,End_year,Description,Content_Warning,Related_Mange,Related_anime,Voice_actors,staff
8575,Osu!! Karate Bu,,OVA  ,4.0,J.C.Staff,,"Seinen, Martial Arts, Based on a Manga",3.31,1990.0,1992.0,"'Tadashi Matsushita has recently entered the Kansai Fifth Technical High School and joined its notorious karate club. There he meets his captain, Yoshiyuki Takagi, an incredibly strong individual. Feared and respected throughout Osaka, Takagi is deep down an honorable and compassionate guy despite his violent endeavors.'",,Osu!! Karate Club,,"Tadashi Matsushita : Yasunori Matsumoto, Yoshiyuki Takagi : Tesshou Genda, Chimoya Tateyama : Minoru Inaba, Daishihan : Ichiro Nagai, Dr. Fukushima : Kouichi Kitamura, Fukuma : Kouji Ishii, Gantetsu : Norio Wakamoto, Harada : Shinpachi Tsuji, Kouji Takahashi
Original Creator, Osamu Sekita
Director, Akira Yamazaki
Music, Eiichi Endo
Character Design, Shuuichi Kakesu
Editor","Kouji Takahashi : Original Creator, Osamu Sekita : Director, Akira Yamazaki : Music, Eiichi Endo : Character Design, Shuuichi Kakesu : Editor"
8576,A Destructive God Sits Next to Me, Boku no Tonari ni Ankoku Hankaishin ga Imasu.,TV   ,12.0,EMT Squared,Winter,"Comedy, Josei, Based on a Manga",3.31,2020.0,,"""High school student Koyuki Seri has a disposition for whipping out witty retorts... but hates people who wait for those retorts! Much to\xa0his dismay, he had caught the eye of Hanadori Kabuto, who suffers from a terrible case of delusions of grandeur and everything about him could warrant a retort. Seri swears that he will never utter a retort about Kabuto, but he just can't hold back. Not to mention, there seem to be even more strange people gathering around him...""",,A Destructive God Sits Next to Me,,"Kabuto Hanadori : Takahiro Sakurai, Seri Koyuki : Jun Fukuyama, Hibiki Kimiya : Tsubasa Yonaga, Homeroom Teacher : Takayuki Kondou, Utsugi Tsukimiya : Ryouhei Kimura, Aitsu : Toshiki Masuda, Cerberus : Chinatsu Akasaki, Gorio : Takaya Kuroda, Arata Aki
Original Creator, Atsushi Nigorikawa
Director, Kanako Hara
Music, Yuki Nakano
Character Design","Arata Aki : Original Creator, Atsushi Nigorikawa : Director, Kanako Hara : Music, Yuki Nakano : Character Design"
8577,Convenience Store Senki Purin-tai,,Web  ,8.0,,,"Comedy, Convenience Store, Promotional, Short Episodes",3.31,2008.0,,'No synopsis yet - check back soon!',,,,,
8578,Buppu na Mainichi,,TV   ,50.0,Kachidoki Studio,,"Slice of Life, Animal Protagonists, Cats, Dogs, Non-Human Protagonists, Short Episodes",3.31,2017.0,2018.0,"""The story will focus on a cat who begins living with 10 dogs, and the animals' busy everyday life.""",,,,"Dora : Yoshino Nanjou, Kenta : Ayami Tsukui, Yunbo : Riho Iida, Baby-Chan, Boku : Saya Aizawa, Charlie : Akari Uehara, Debit, Diana, Takeshi Onaka
Director",Takeshi Onaka : Director
8579,it’s MAREY o’clock now!,,Other,,,,"Abstract, Korean Animation",3.31,2018.0,,'No synopsis yet - check back soon!',,,,"Mareykrap
Producer & Director",Mareykrap : Producer & Director
8580,Yami Yami, Minna no Uta: Yami Yami,Music,,,,"Family Friendly, Minna no Uta",3.31,2012.0,,'No synopsis yet - check back soon!',,,Etsuko Yakushimaru: Yami Yami,"Toshiko Hata
Director, Etsuko Yakushimaru
Song Composition & Song Lyrics & Song Performance","Toshiko Hata : Director, Etsuko Yakushimaru : Song Composition & Song Lyrics & Song Performance"
8581,Hai! Akko Desu,,TV   ,163.0,Eiken,,"Romance, Slice of Life",3.31,1988.0,1992.0,'No synopsis yet - check back soon!',,,Hai! Akko Desu: Minna no Koutsuu Anzen,"Akko : Kazue Komiya, Akira : Yoshiko Kamei, Ariko : Ranko Mizuki, Hanako : Satomi Koorogi, Hinako : Kyoko Minami, Okamoto : Kikuko Inoue, Setsuko : Reiko Seno, Shunichi : Kaneto Shiozawa",
8582,MIYAVI: Raise Me Up Teaser Video,,Music,,,,Music,3.31,2016.0,,'No synopsis yet - check back soon!',,,MIYAVI: Afraid To Be Cool,"Miyavi
Music",Miyavi : Music
8583,Yorushika: Parade,,Music,,,,Abstract,3.31,2019.0,,'No synopsis yet - check back soon!',,,,"Suis
Song Performance, Yorushika
Song Performance, N-Buna
Song Arrangement & Song Composition & Song Lyrics","Suis : Song Performance, Yorushika : Song Performance, N-Buna : Song Arrangement & Song Composition & Song Lyrics"
8584,Maeterlinck's Blue Bird, Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,TV   ,26.0,Group TAC,,"Adventure, Fantasy, Family Friendly",3.31,1980.0,,"'Mytyl and Tyltyl used to live a happy life with their mother and father until one day, their mother fell terribly ill and was sent to a hospital to recover. Now, the two long for the day they can be a family again at home, but it seems their wish will never come true. That is, until the clumsy, magical Berylune appears at their window one day, promising them that their mother can be healed as long as they find the mysterious and beautiful blue bird of happiness. To do so, they must travel to another magical world and meet many new friends. Can Mytyl and Tyltyl find the bird and fulfill their dream?'",,,,"Berylune : Fusako Amachi, Mytyl : Mami Koyama, Tyltyl : Tooru Furuya, Berylune, Chiretto : Fuyumi Shiraishi, Chiro : Ichiro Nagai, Chiruchiru, Spirit Of The Milk : Masako Nozawa, Hiroshi Sasagawa
Director, Leiji Matsumoto
Character Design","Hiroshi Sasagawa : Director, Leiji Matsumoto : Character Design"
