Rank,Name,Episodes,Tags,Rating
38,Banana Fish,courseries,"nature made ash lynx beautiful; nurture made him a cold ruthless killer. a runaway brought up as the adopted heir and sex toy of papa dino golzine, ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. but the hideous secret that drove ash\s older brother mad in\xa0iraq has suddenly fallen into papa\s insatiably ambitious hands--and it\s exactly the wrong time for eiji okamura, a pure-hearted young photographer from japan, to make ash lynx\s acquaintance... akimiyoshida action drama shoujo america criminals gangs noitamina based on a manga drug use, mature themes, physical abuse, prostitution, sexual abuse, violence 2018",4.44
39,Douluo Dalu 2,courseries,second season of\xa0douluo dalu. hongyutang action fantasy chinese animation cultivation xianxia based on a web novel cg animation 2018,4.44
40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,movie,"while watching a movie, gintoki comes upon a movie thief, a figure in japanese culture often depicted as a man with a video camera as a head. after scolding the movie thief for his actions, he finds himself warped into another world via the camera lens. in this world, 5 years have passed, and not only has the land of edo changed into an apocalyptic wasteland, but kagura has changed into a beautiful woman with no chinese speech pattern, shinpachi has turned into a cool samurai who is not a tsukkomi anymore, and the gintoki of this time has gone missing, though he is assumed to be dead. gintoki is determined to find out the truth of the deadly sickness that is ravaging edo, and also to understand the feelings of kagura and shinpachi, who have been trying to deal with their leader\s disappearance. hideakisorachi action comedy drama sci fi shounen aliens feudal japan samurai swordplay time travel based on a manga 2013",4.44
41,Gintama.,miniseries,fifth\xa0season of gintama. hideakisorachi action comedy drama sci fi shounen aliens crude feudal japan gag samurai slapstick swordplay based on a manga 2017,4.44
42,Gintama.: Shirogane no Tamashii-hen,miniseries,final arc of gintama. hideakisorachi action comedy drama sci fi shounen aliens crude feudal japan gag samurai slapstick swordplay based on a manga 2018,4.44
43,Attack on Titan 3rd Season,miniseries,"deep in the forest, eren continues to hone his titan abilities so that the military can reclaim wall maria. but soon, the scouts find themselves persecuted for a crime they didnt commit, and eren and christa are thrust into the center of a political conspiracy that puts all of mankind at risk. humans must fight against humans - not titans - if they are to live another day, as all the while new secrets about the titans emege... hajimeisayama action fantasy horror dark fantasy isolated society military outside world political post-apocalyptic based on a manga cannibalism, explicit violence 2018",4.44
44,Steins;Gate,courseries,"the eccentric mad scientist okabe, his childhood friend mayuri, and the otaku hacker daru have banded together to form the future gadget research laboratory, and spend their days in a ramshackle laboratory hanging out and occasionally attempting to invent incredible, yet generally useless, futuristic gadgets. however, their claymore is a hydrator and their hair dryer flips breakers, and the only invention that’s even remotely interesting is their phone microwave, which transforms bananas into oozing green gel. but when an experiment goes awry the gang discovers that the phone microwave can also send text messages to the past. and whats more, the words they send can affect the flow of time and have unforeseen, far-reaching consequences... hiroshihamasaki sci fi conspiracy lgbt themes psychological thriller time travel based on a visual novel mature themes, suicide 2011",4.44
45,Haikyuu!!,longseries,"shoyo hinata isnt a large guy, but hes got huge ambitions. ever since seeing a small player score in a national championship, hes been determined to become the next big thing in high school volleyball. unfortunately, the one time he was able to pull enough players together to form a team in junior high, they were completely trashed in their first and only match against a team led by up-and-coming setter tobio kageyama.now, enrolled at the same high school where his idol once played, shoyos finally going to get his shot to join and play with a top team. theres just one problem: tobio kageyamas decided to attend the same school, and hes already considered one of the best players in the game. can a kid out of nowhere hold his own against the king of the court? or could the rivalry and competition actually be the best thing for both of them? haruichifurudate shounen sports school club school life tournaments volleyball based on a manga 2014",4.43
46,Gintama',longseries,"gintoki sakata, kagura, and shinpachi shimura continue to scrape together a living as the freelance jack-of-all-trades group yorozuya in edo while living among the several odd humans and aliens that inhabit the peculiar metropolis. hideakisorachi action comedy drama sci fi shounen aliens breaking the fourth wall crude feudal japan gag parody samurai slapstick swordplay based on a manga 2011",4.43
47,One-Punch Man,miniseries,"in a\xa0city plagued\xa0with thugs, mutants, and supervillains, saitama decides to become a superhero for fun. he envisions an exciting life where he is constantly challenged with tough opponents, but after three years of intense training, hes become so strong that he defeats every enemy with one punch! his dream of\xa0engaging challenging foes has gone up in smoke, and his overpowered life is filled with overpowering boredom. then a cyborg named genos learns about saitamas amazing ability and begs him to make him his disciple. saitama isnt interested in taking on an apprentice, but genos isnt giving up. can he convince the disillusioned\xa0hero to teach him the secret of his strength? and will saitama ever find a worthy adversary to battle? yuusukemurata action comedy sci fi seinen cyborgs monsters overpowered main characters parody satire superheroes superpowers based on a manga explicit violence 2015",4.43
