Rank,Name,Tags,Rating
53,JoJo's Bizarre Adventure: Stone Ocean,"florida, u.s.a, 2011 after an accid while on a drive with her sweetheart, jolyn cujoh fall into a trap and is sentenc to fifteen years. she is sent to the state-run maximum-secur correct facil green dolphin street prison—aka the aquarium. on the verg of despair, she receiv a pendant from her father that caus a mysteri power to awaken insid of her. there are thing in thi world that are more terrifi than death, and what\ happen in thi prison is definit one of them. a messag from a mysteri boy who appear befor jolyne, inexplic event that occur one after another, the horrifi truth told to her by her father when he come to visit, and the name dio... will jolyn ultim be set free from thi stone ocean they call a prison? the final battl to end century-long fate confront between the joestar famili and dio begins! hirohikoaraki action adventur shounen america prison supernatur base on a manga 2021 miniseri highrank",4.42
54,Vinland Saga,"around the end of the millennium, viking, the mightiest but atroci tribe, had been outbreak everywhere. thorfinn, the son of the greatest warrior, live hi childhood in the battlefield. he wa seek the land of reveri call vinland. thi is the stori of a true warrior in an age of turmoil. makotoyukimura action seinen death of a love one england europ histor mediev reveng swordplay war weak to strong base on a manga violenc 2019 courseri highrank",4.42
55,Natsume's Book of Friends Season 4,"takashi natsum continu to return the name of the spirit that have been written in the book of friend he inherit from hi grandmother, reiko natsume. while natsum is still aid by the chubbi nyanko-sensei, he\ now help by some of the friend he had made in hi journey; be it human be or spirits. as he becom closer to both, natsum face the inevit question of the side he ha to take especi when there is a conflict between the two. yukimidorikawa drama shoujo slice of life bodyguard cat countrysid episod iyashikei japanes mytholog orphan supernatur youkai base on a manga 2012 miniseri highrank",4.4
56,Assassination Classroom 2nd Season,"class 3e is about to begin their second semester! and while some thing have changed, the class assign is still the same: kill their teacher befor the end of the year! easier said than done sinc koro sensei made it clear he wont go down without a fight. will these student be abl to take down the tentacl monster that move at mach 20 befor he can destroy the world? yuseimatsui action comedi sci fi shounen assassin non-human protagonist overpow main charact parodi school life teach base on a manga 2016 longseri highrank",4.4
57,Natsume's Book of Friends Season 5,"takashi natsum is a boy who\ been abl to see youkai ever sinc he wa a child. ever sinc he inherit the book of friend from hi grandmoth reiko, he and hi self-proclaim bodyguard nyanko-sensei have spent their day return name to the youkai who are bound by the book. as he meet the differ youkai and people, he find himself with mani more thing that he care about. he wonder whether it\ right to keep secret to protect someon as littl by littl he work up the courag to build even more friendships. yukimidorikawa drama shoujo slice of life bodyguard cat countrysid episod iyashikei japanes mytholog orphan supernatur youkai base on a manga 2016 miniseri highrank",4.4
58,My Hero Academia 3,"summer is here,and the hero of class 1-a and 1-b are in for the toughest train camp of their lives! a group of season pro push everyone’ quirk to new height as the student face one overwhelm challeng after another. brave the element in thi secret locat becom the least of their worri when routin train turn into a critic struggl for survival. kouheihorikoshi action comedi drama sci fi shounen superhero superpow base on a manga violenc 2018 longseri highrank",4.4
59,Violet Evergarden,"as a child, violet wa use by the militari as a weapon becaus of her combat prowess. her one friend and protector wa major gilbert, who name the girl, taught her how to speak and write, and care for her. but after be serious injur in the war, lose both arm in the process, violet is brought to the evergarden household to recuperate. there, she train to becom an auto memori doll: a person who write letter for others, deciph their true feel and express it on paper. as violet travel the world, she help her client find love and comfort through the letter she writes; but more importantly, she slowli begin to understand emotions, so that she can final cope with what she’ done, and what she’ lost. taichiishid drama lifestyl chang melancholi war base on a light novel violenc 2018 miniseri highrank",4.39
60,That Time I Got Reincarnated as a Slime,"lone thirty-seven-year-old satoru mikami is stuck in a dead-end job, unhappi with hi mundan life, but after die at the hand of a robber, he awaken to a fresh start in a fantasi realm...a a slime monster! as he acclim to hi goopi new existence, hi exploit with the other monster set off a chain of event that will chang hi new world forever! fuse action adventur comedi fantasi shounen cheat demon isekai kingdom build magic manag modern knowledg monster non-human protagonist overpow main charact person in a strang world polit reincarn rpg slime base on a manga violenc 2018 courseri highrank",4.39
61,My Hero Academia 2,"in a world where eighti percent of the popul ha some kind of super-pow “quirk,” izuku wa unlucki enough to be born complet normal. but that won’t stop him from enrol in a prestigi hero academy. now, the promis freshman class is make it debut at the world-renown u.a. sport festival! it’ quirk versu quirk as our young hero face off in the ultim showdown. kouheihorikoshi action comedi drama sci fi shounen school life superhero superpow tournament weak to strong base on a manga emot abuse, matur themes, physic abuse, violence, domest abus 2017 longseri highrank",4.39
62,Wolf Children,"hana wa a student befor she wa a mother. she wa bright and pretty, and her futur held endless possibilities. then she met a man, who turn out to be a wolf, and togeth they built a family. hana love her mate fiercely, but fate took him from her, leav her alon with two unusu kid she didn’t know how to raise. frighten of be discovered, hana and her wolf children fled to the countrysid to build a new life. rais her littl wild thing wa an adventure. it left hana bruised, scratched, exhausted, and joyous overwhelm as her pup grew stronger and wander further everi day. thi is a mother’ journey. teach your children to chase their dream – and smile through the tear as they disappear into the world in search of who they will become. hana wasn’t alway a mother, but it wa alway what she wa meant to be. mamoruhosoda fantasi slice of life anim characterist anim transform childcar come of age contemporari fantasi countrysid death of a love one famili life lifestyl chang singl parent werewolv origin work nuditi 2012 movi highrank",4.39
